n,b_slope,log_a_intercept,a,r2,plot
85,0.5985524090561617,-0.61269545862335,0.5418882613737656,0.8403447742343124,P24
64,0.5680660306146079,-0.46464399338608153,0.6283587652513911,0.8184525523165369,P26
92,0.663720160160818,-1.0021090686531298,0.3671043757942842,0.7514793520071441,P18
69,0.5555112785858418,-0.2614806123193243,0.7699108020644233,0.7195168330195946,P19
69,0.4656757339700491,0.21322505672032355,1.2376631643144318,0.7147002018991924,P28
325,0.5258263011682501,-0.048672003249051965,0.9524934932396729,0.7137748059322815,Sherman
67,0.530087350462424,-0.17533999681021584,0.8391716565740396,0.6916296287712813,P22
80,0.4234352734705302,0.5617603918713812,1.7537570841766794,0.6892045113981109,caritas
420,0.60055763322493,-0.5083418729735136,0.6014921027140682,0.6654437327190135,P16
66,0.5631649001028757,-0.3422089567674389,0.7101997881514273,0.6637479652787547,P23
57,0.4783306402476927,0.26580139537825875,1.304475958004273,0.6608144897471964,P08
49,0.4590828738789777,0.34587697541701523,1.4132287432457962,0.6481211309584216,P27
72,0.587445475487474,-0.48788243181035673,0.6139250468563971,0.6459411752189049,elcharco
304,0.577039305605369,-0.4899464614352951,0.6126591942002861,0.6353744747426691,metrop
83,0.5319708482636099,-0.10956252231490593,0.896226128478149,0.595322722894568,P32
415,0.5418008999436694,-0.1931122403799468,0.8243894391622492,0.5666339958885879,P09
324,0.5226065104044718,-0.098591868048024,0.9061124460087727,0.5356331532238785,P06
328,0.45640152545976287,0.1094131126431841,1.1156231331786315,0.5316203826087125,metrop2
330,0.5519316343061056,-0.43571666148471744,0.6468009635997796,0.5066957172079234,P14
61,0.5102899412711539,-0.07518876738926572,0.9275683751408912,0.3773788138325589,P21
495,0.6175023618958806,-0.680621497636261,0.5063022289248437,0.3736734057691008,P15
688,0.4203454039996483,0.4903670543198295,1.6329154786487594,0.3617859416280691,Finca_Roubik
483,0.5105869177615692,-0.09631695887110547,0.9081761159683888,0.34095122395255373,P12
81,0.2807827810683878,1.2690191395826236,3.5573615753903445,0.32384369576338545,P25
